time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160310:1910,0,0,0,0,1.33,2.52,0
20160310:2010,0,0,0,0,0.01,2.77,0
20160310:2110,0,0,0,0,-1.31,3.02,0
20160310:2210,0,0,0,0,-1.5,2.99,0
20160310:2310,0,0,0,0,-1.69,2.97,0
20160311:0010,0,0,0,0,-1.88,2.94,0
20160311:0110,0,0,0,0,-2.28,2.86,0
20160311:0210,0,0,0,0,-2.67,2.79,0
20160311:0310,0,0,0,0,-3.07,2.72,0
20160311:0410,0,0,0,0,-3.49,2.71,0
20160311:0510,0,0,0,0,-3.91,2.71,0
20160311:0610,0,6.81,0.15,2.99,-4.32,2.7,0
20160311:0710,128.23,90.1,3.24,12.8,-1.79,2.8,0
20160311:0810,331.89,138.33,6.47,21.88,0.74,2.9,0
20160311:0910,519.98,170.91,9.2,29.69,3.27,2.99,0
20160311:1010,587.12,236.43,10.96,35.5,4.34,3.34,0
20160311:1110,655.3,212.05,11.28,38.57,5.42,3.68,0
20160311:1210,507.79,284.57,10.66,38.34,6.5,4.03,0
20160311:1310,380.54,215.74,8.05,34.88,6.87,4.17,0
20160311:1410,129.77,262.77,6.39,28.75,7.25,4.3,0
20160311:1510,1.75,103.42,2.17,20.74,7.62,4.44,0
20160311:1610,4.05,54.86,1.17,11.54,6.62,3.76,0
20160311:1710,0,0,0,0,5.61,3.08,0
20160311:1810,0,0,0,0,4.6,2.4,0
20160311:1910,0,0,0,0,3.39,2.58,0
20160311:2010,0,0,0,0,2.18,2.76,0
20160311:2110,0,0,0,0,0.97,2.94,0
20160311:2210,0,0,0,0,0.59,2.81,0
20160311:2310,0,0,0,0,0.21,2.69,0
20160312:0010,0,0,0,0,-0.16,2.57,0
20160312:0110,0,0,0,0,-0.14,2.37,0
20160312:0210,0,0,0,0,-0.11,2.17,0
20160312:0310,0,0,0,0,-0.08,1.97,0
20160312:0410,0,0,0,0,-0.05,1.84,0
20160312:0510,0,0,0,0,-0.03,1.71,0
20160312:0610,0,7.66,0.17,3.32,0,1.57,0
20160312:0710,37.78,89.34,2.26,13.15,1.3,2.07,0
20160312:0810,5.76,123.81,2.64,22.25,2.6,2.57,0
20160312:0910,0,116.76,2.43,30.06,3.9,3.06,0
20160312:1010,0,84.18,1.75,35.9,4.72,3.11,0
20160312:1110,0,133.05,2.77,38.96,5.54,3.16,0
20160312:1210,0,73.32,1.53,38.72,6.37,3.21,0
20160312:1310,0,92.32,1.92,35.23,6.61,3.49,0
20160312:1410,0,47.97,1,29.06,6.85,3.77,0
20160312:1510,0,42.54,0.89,21.03,7.09,4.04,0
20160312:1610,0,45.26,0.94,11.8,6.53,3.79,0
20160312:1710,0,0,0,0,5.97,3.54,0
20160312:1810,0,0,0,0,5.41,3.28,0
20160312:1910,0,0,0,0,4.65,3.02,0
20160312:2010,0,0,0,0,3.9,2.75,0
20160312:2110,0,0,0,0,3.14,2.48,0
20160312:2210,0,0,0,0,2.9,2.44,0
20160312:2310,0,0,0,0,2.66,2.39,0
20160313:0010,0,0,0,0,2.42,2.34,0
20160313:0110,0,0,0,0,2.09,2.53,0
20160313:0210,0,0,0,0,1.77,2.72,0
20160313:0310,0,0,0,0,1.45,2.91,0
20160313:0410,0,0,0,0,1.5,3.03,0
20160313:0510,0,0,0,0,1.55,3.14,0
20160313:0610,0,3.4,0.08,3.66,1.61,3.26,0
20160313:0710,5.5,47.47,1.06,13.5,2.53,3.59,0
20160313:0810,0,49.78,1.04,22.61,3.45,3.92,0
20160313:0910,0,56.12,1.17,30.44,4.37,4.25,0
20160313:1010,0,49.78,1.04,36.29,5.25,4.65,0
20160313:1110,25.51,213.36,4.7,39.36,6.13,5.05,0
20160313:1210,0,53.4,1.11,39.11,7.02,5.45,0
20160313:1310,0,60.64,1.26,35.57,7.22,5.53,0
20160313:1410,0,66.07,1.38,29.38,7.41,5.61,0
20160313:1510,0,61.55,1.28,21.31,7.61,5.7,0
20160313:1610,3.89,48.41,1.04,12.05,6.92,5.01,0
20160313:1710,0,1.81,0.04,2.15,6.22,4.33,0
20160313:1810,0,0,0,0,5.53,3.64,0
20160313:1910,0,0,0,0,4.5,3.36,0
20160313:2010,0,0,0,0,3.48,3.07,0
20160313:2110,0,0,0,0,2.45,2.79,0
20160313:2210,0,0,0,0,2.12,2.64,0
20160313:2310,0,0,0,0,1.79,2.5,0
20160314:0010,0,0,0,0,1.47,2.36,0
20160314:0110,0,0,0,0,1.46,2.51,0
20160314:0210,0,0,0,0,1.46,2.66,0
20160314:0310,0,0,0,0,1.46,2.81,0
20160314:0410,0,0,0,0,1.3,2.65,0
20160314:0510,0,0,0,0,1.14,2.48,0
20160314:0610,0,5.1,0.11,4,0.99,2.32,0
20160314:0710,0,48.88,1.02,13.84,2.46,2.43,0
20160314:0810,0,66.07,1.38,22.97,3.94,2.55,0
20160314:0910,0,75.13,1.57,30.83,5.42,2.66,0
20160314:1010,0,70.6,1.47,36.69,6.57,2.49,0
20160314:1110,0,97.75,2.04,39.76,7.72,2.32,0
20160314:1210,0,94.13,1.96,39.49,8.87,2.15,0
20160314:1310,0,93.23,1.94,35.92,9.02,2.4,0
20160314:1410,0,66.98,1.4,29.69,9.18,2.65,0
20160314:1510,3.38,106.33,2.24,21.59,9.33,2.9,0
20160314:1610,11.43,67.79,1.49,12.31,8.22,2.65,0
20160314:1710,3.89,3.66,0.09,2.4,7.1,2.41,0
20160314:1810,0,0,0,0,5.99,2.17,0
20160314:1910,0,0,0,0,4.74,2.01,0
20160314:2010,0,0,0,0,3.49,1.86,0
20160314:2110,0,0,0,0,2.24,1.71,0
20160314:2210,0,0,0,0,1.57,1.55,0
20160314:2310,0,0,0,0,0.89,1.4,0
20160315:0010,0,0,0,0,0.22,1.24,0
20160315:0110,0,0,0,0,-0.22,1.16,0
20160315:0210,0,0,0,0,-0.66,1.09,0
20160315:0310,0,0,0,0,-1.1,1.01,0
20160315:0410,0,0,0,0,-1.3,0.85,0
20160315:0510,0,0,0,0,-1.5,0.69,0
20160315:0610,0,12.76,0.28,4.34,-1.7,0.52,0
20160315:0710,61.2,105.23,2.89,14.19,0.4,0.57,0
20160315:0810,97.69,186.6,4.88,23.33,2.51,0.61,0
20160315:0910,450.62,200.04,9.11,31.21,4.62,0.65,0
20160315:1010,518.7,259.21,10.81,37.09,5.35,1.34,0
20160315:1110,543.79,311.91,11.84,40.16,6.08,2.03,0
20160315:1210,64.86,269.39,6.2,39.87,6.82,2.72,0
20160315:1310,0,101.37,2.11,36.27,6.17,2.93,0
20160315:1410,0,40.73,0.85,30,5.51,3.15,0
20160315:1510,0,54.31,1.13,21.86,4.86,3.37,0
20160315:1610,3.74,65.7,1.4,12.57,4.05,3.2,0
20160315:1710,14.16,8.44,0.25,2.64,3.24,3.03,0
20160315:1810,0,0,0,0,2.43,2.86,0
20160315:1910,0,0,0,0,2.04,2.97,0
20160315:2010,0,0,0,0,1.64,3.09,0
20160315:2110,0,0,0,0,1.25,3.21,0
20160315:2210,0,0,0,0,1.12,3.28,0
20160315:2310,0,0,0,0,0.99,3.34,0
20160316:0010,0,0,0,0,0.86,3.41,0
20160316:0110,0,0,0,0,0.51,3.45,0
20160316:0210,0,0,0,0,0.16,3.49,0
20160316:0310,0,0,0,0,-0.19,3.53,0
20160316:0410,0,0,0,0,-0.19,3.62,0
20160316:0510,0,0,0,0,-0.19,3.71,0
20160316:0610,0,11.06,0.25,4.68,-0.18,3.79,0
20160316:0710,0,51.59,1.08,14.54,0.91,4.17,0
20160316:0810,5.53,119.17,2.55,23.7,2.01,4.55,0
20160316:0910,0,87.8,1.83,31.59,3.11,4.92,0
20160316:1010,0,146.63,3.06,37.49,4.5,4.97,0
20160316:1110,16.2,210.21,4.55,40.56,5.9,5.02,0
20160316:1210,362.73,261.84,9.03,40.25,7.3,5.06,0
20160316:1310,352.1,328,9.86,36.62,7.73,4.86,0
20160316:1410,99.26,269.39,6.37,30.31,8.16,4.67,0
20160316:1510,18.17,161.73,3.51,22.14,8.59,4.47,0
20160316:1610,0,54.31,1.13,12.82,7.63,3.8,0
20160316:1710,3.25,3.65,0.09,2.88,6.67,3.13,0
20160316:1810,0,0,0,0,5.71,2.46,0
20160316:1910,0,0,0,0,4.72,2.43,0
20160316:2010,0,0,0,0,3.74,2.4,0
20160316:2110,0,0,0,0,2.75,2.37,0
20160316:2210,0,0,0,0,2.29,2.41,0
20160316:2310,0,0,0,0,1.83,2.46,0
20160317:0010,0,0,0,0,1.37,2.5,0
20160317:0110,0,0,0,0,1.11,2.5,0
20160317:0210,0,0,0,0,0.85,2.5,0
20160317:0310,0,0,0,0,0.59,2.5,0
20160317:0410,0,0,0,0,0.44,2.47,0
20160317:0510,0,0,0,0,0.29,2.45,0
20160317:0610,0,15.31,0.34,5.02,0.15,2.43,0
20160317:0710,196.03,76.41,4.15,14.89,2.3,2.21,0
20160317:0810,426.86,106.19,7.53,24.06,4.46,1.99,0
20160317:0910,631.08,128.5,10.35,31.98,6.62,1.77,0
20160317:1010,759.11,159.31,12.28,37.89,7.89,1.4,0
20160317:1110,924.78,106.62,13.41,40.96,9.16,1.03,0
20160317:1210,869.86,147.64,13.09,40.64,10.43,0.66,0
20160317:1310,786.07,161.6,12.01,36.97,10.73,0.7,0
20160317:1410,637.66,156.11,9.88,30.62,11.02,0.74,0
20160317:1510,459.1,132.55,7.15,22.42,11.32,0.77,0
20160317:1610,237.66,93.57,3.81,13.08,9.96,1.16,0
20160317:1710,44.96,12.91,0.53,3.13,8.59,1.55,0
20160317:1810,0,0,0,0,7.22,1.94,0
20160317:1910,0,0,0,0,5.77,1.93,0
20160317:2010,0,0,0,0,4.31,1.91,0
20160317:2110,0,0,0,0,2.86,1.89,0
20160317:2210,0,0,0,0,2.25,1.6,0
20160317:2310,0,0,0,0,1.63,1.3,0
20160318:0010,0,0,0,0,1.02,1.01,0
20160318:0110,0,0,0,0,0.58,1.01,0
20160318:0210,0,0,0,0,0.15,1.02,0
20160318:0310,0,0,0,0,-0.28,1.02,0
20160318:0410,0,0,0,0,-0.6,0.88,0
20160318:0510,0,0,0,0,-0.92,0.74,0
20160318:0610,0,17.01,0.38,5.37,-1.23,0.59,0
20160318:0710,191.87,82.15,4.24,15.24,2.06,0.44,0
20160318:0810,422.76,113.73,7.66,24.43,5.36,0.28,0
20160318:0910,623.54,137.51,10.47,32.36,8.66,0.12,0
20160318:1010,762.72,159.99,12.41,38.28,9.57,0.65,0
20160318:1110,929.27,106.21,13.54,41.37,10.48,1.17,0
20160318:1210,889.62,133.02,13.2,41.02,11.4,1.7,0
20160318:1310,818.52,140.89,12.18,37.31,11.59,1.99,0
20160318:1410,651.18,149.43,10.01,30.92,11.79,2.28,0
20160318:1510,470.37,125.8,7.24,22.69,11.98,2.57,0
20160318:1610,245.78,86.87,3.85,13.33,10.45,2.48,0
20160318:1710,44.57,14.79,0.58,3.37,8.91,2.39,0
20160318:1810,0,0,0,0,7.38,2.3,0
20160318:1910,0,0,0,0,6.71,2.22,0
20160318:2010,0,0,0,0,6.03,2.14,0
20160318:2110,0,0,0,0,5.36,2.06,0
20160318:2210,0,0,0,0,4.38,1.78,0
20160318:2310,0,0,0,0,3.4,1.51,0
20160319:0010,0,0,0,0,2.43,1.24,0
20160319:0110,0,0,0,0,2.11,1.04,0
20160319:0210,0,0,0,0,1.8,0.85,0
20160319:0310,0,0,0,0,1.49,0.65,0
20160319:0410,0,0,0,0,1.18,0.67,0
20160319:0510,0,0,0,0,0.87,0.69,0
20160319:0610,0,17.86,0.4,5.71,0.57,0.7,0
20160319:0710,202.91,83.34,4.47,15.6,3.19,0.64,0
20160319:0810,442.92,99.51,7.77,24.8,5.81,0.57,0
20160319:0910,639.73,127.45,10.6,32.74,8.44,0.51,0
20160319:1010,752.12,171.48,12.52,38.68,9.47,0.9,0
20160319:1110,932.28,105.78,13.65,41.77,10.51,1.29,0
20160319:1210,891.5,137.82,13.37,41.4,11.55,1.68,0
20160319:1310,805.55,153.02,12.28,37.66,11.69,2.01,0
20160319:1410,641.42,155.99,10.07,31.23,11.84,2.34,0
20160319:1510,463.82,132.45,7.34,22.97,11.98,2.66,0
20160319:1610,243.21,92.31,3.96,13.58,10.49,2.44,0
20160319:1710,49.44,14.82,0.64,3.61,8.99,2.22,0
20160319:1810,0,0,0,0,7.5,2,0
20160319:1910,0,0,0,0,6.22,1.95,0
20160319:2010,0,0,0,0,4.93,1.91,0
20160319:2110,0,0,0,0,3.65,1.86,0
20160319:2210,0,0,0,0,2.77,1.78,0
20160319:2310,0,0,0,0,1.88,1.7,0
20160320:0010,0,0,0,0,1,1.61,0
20160320:0110,0,0,0,0,0.79,1.45,0
20160320:0210,0,0,0,0,0.59,1.29,0
20160320:0310,0,0,0,0,0.38,1.13,0
20160320:0410,0,0,0,0,-0.08,1.1,0
20160320:0510,0,0,0,0,-0.55,1.07,0
20160320:0610,0,19.56,0.43,6.06,-1.01,1.03,0
20160320:0710,2.47,74.43,1.58,15.95,2.09,0.98,0
20160320:0810,0,105.9,2.21,25.16,5.2,0.92,0
20160320:0910,0,134.86,2.81,33.13,8.31,0.87,0
20160320:1010,0,143.01,2.98,39.08,9.37,1.1,0
20160320:1110,363.48,299.6,9.96,42.17,10.44,1.34,0
20160320:1210,767.62,176.99,12.5,41.78,11.51,1.57,0
20160320:1310,809.16,148.44,12.33,38,11.68,1.72,0
20160320:1410,631.83,165.09,10.17,31.53,11.84,1.88,0
20160320:1510,447.92,143.44,7.39,23.24,12.01,2.03,0
20160320:1610,235.61,95.76,4,13.83,10.54,1.97,0
20160320:1710,48.83,17.64,0.72,3.85,9.06,1.91,0
20160320:1810,0,0,0,0,7.59,1.85,0
20160320:1910,0,0,0,0,6.14,1.84,0
20160320:2010,0,0,0,0,4.69,1.83,0
20160320:2110,0,0,0,0,3.24,1.82,0
20160320:2210,0,0,0,0,2.65,1.75,0
20160320:2310,0,0,0,0,2.06,1.67,0
20160321:0010,0,0,0,0,1.47,1.6,0
20160321:0110,0,0,0,0,1.19,1.57,0
20160321:0210,0,0,0,0,0.92,1.54,0
20160321:0310,0,0,0,0,0.65,1.52,0
20160321:0410,0,0,0,0,0.73,1.33,0
20160321:0510,0,0,0,0,0.81,1.15,0
20160321:0610,0,22.97,0.51,6.4,0.9,0.97,0
20160321:0710,3.66,77.24,1.66,16.3,2.19,1.46,0
20160321:0810,0,117.67,2.45,25.53,3.49,1.95,0
20160321:0910,0,135.77,2.83,33.51,4.79,2.44,0
20160321:1010,0,167.45,3.49,39.48,5.82,2.33,0
20160321:1110,0,199.13,4.15,42.57,6.85,2.22,0
20160321:1210,1.45,182.08,3.81,42.16,7.88,2.11,0
20160321:1310,0,167.45,3.49,38.34,8.28,2.31,0
20160321:1410,534.56,193.73,9.56,31.84,8.68,2.51,0
20160321:1510,289.81,173.71,6.28,23.51,9.08,2.7,0
20160321:1610,231.63,70.18,3.64,14.08,8.08,2.51,0
20160321:1710,50.6,17.55,0.75,4.09,7.07,2.33,0
20160321:1810,0,0,0,0,6.06,2.14,0
20160321:1910,0,0,0,0,4.95,2.06,0
20160321:2010,0,0,0,0,3.83,1.99,0
20160321:2110,0,0,0,0,2.72,1.92,0
20160321:2210,0,0,0,0,2.24,1.88,0
20160321:2310,0,0,0,0,1.76,1.83,0
20160322:0010,0,0,0,0,1.28,1.79,0
20160322:0110,0,0,0,0,0.93,1.73,0
20160322:0210,0,0,0,0,0.59,1.67,0
20160322:0310,0,0,0,0,0.24,1.61,0
20160322:0410,0,0,0,0,0.08,1.56,0
20160322:0510,0,0,0,0,-0.09,1.51,0
20160322:0610,36.65,22.99,1.32,6.74,-0.25,1.46,0
20160322:0710,214.08,85.38,4.83,16.65,1.51,2.07,0
20160322:0810,438.78,116.42,8.19,25.9,3.27,2.69,0
20160322:0910,604.26,156.99,10.81,33.9,5.04,3.3,0
20160322:1010,513.78,275.34,11.43,39.88,6,3.38,0
20160322:1110,796.43,193.28,13.45,42.97,6.97,3.47,0
20160322:1210,732.41,218.84,12.84,42.54,7.94,3.56,0
20160322:1310,725.08,216.41,12.47,38.69,8.27,3.95,0
20160322:1410,504.92,200.05,9.39,32.14,8.6,4.34,0
20160322:1510,373.7,114.03,6.28,23.78,8.93,4.73,0
20160322:1610,221.19,96.2,3.98,14.33,7.72,4.23,0
20160322:1710,50.02,21.28,0.85,4.33,6.5,3.73,0
20160322:1810,0,0,0,0,5.29,3.23,0
20160322:1910,0,0,0,0,4.26,2.88,0
20160322:2010,0,0,0,0,3.22,2.53,0
20160322:2110,0,0,0,0,2.19,2.18,0
20160322:2210,0,0,0,0,1.7,2.11,0
20160322:2310,0,0,0,0,1.21,2.05,0
20160323:0010,0,0,0,0,0.73,1.99,0
20160323:0110,0,0,0,0,0.48,2,0
20160323:0210,0,0,0,0,0.24,2.01,0
20160323:0310,0,0,0,0,-0.01,2.03,0
20160323:0410,0,0,0,0,-0.23,2.08,0
20160323:0510,0,0,0,0,-0.45,2.13,0
20160323:0610,8.77,29.97,0.83,7.09,-0.66,2.18,0
20160323:0710,3.56,83.57,1.79,17.01,0.93,3.11,0
20160323:0810,0,74.22,1.55,26.26,2.53,4.05,0
20160323:0910,0,121.29,2.53,34.28,4.13,4.98,0
20160323:1010,27.68,213.29,4.75,40.28,4.74,5.08,0
20160323:1110,32.46,108.7,2.66,43.37,5.35,5.18,0
20160323:1210,0,116.76,2.43,42.92,5.97,5.28,0
20160323:1310,137.36,338.8,8.28,39.03,6.33,5.29,0
20160323:1410,0,48.88,1.02,32.44,6.68,5.29,0
20160323:1510,0,100.47,2.09,24.05,7.04,5.3,0
20160323:1610,8.12,83.51,1.81,14.58,6.18,4.4,0
20160323:1710,10.31,17.42,0.45,4.57,5.31,3.49,0
20160323:1810,0,0,0,0,4.45,2.59,0
20160323:1910,0,0,0,0,3.5,2.31,0
20160323:2010,0,0,0,0,2.55,2.03,0
20160323:2110,0,0,0,0,1.6,1.75,0
20160323:2210,0,0,0,0,1.63,1.72,0
20160323:2310,0,0,0,0,1.66,1.69,0
20160324:0010,0,0,0,0,1.7,1.66,0
20160324:0110,0,0,0,0,1.55,1.53,0
20160324:0210,0,0,0,0,1.4,1.41,0
20160324:0310,0,0,0,0,1.25,1.28,0
20160324:0410,0,0,0,0,1.13,1.44,0
20160324:0510,0,0,0,0,1.01,1.6,0
20160324:0610,21.88,27.28,1.09,7.43,0.9,1.75,0
20160324:0710,30.49,131.39,3.15,17.36,1.93,1.85,0
20160324:0810,227.15,254.09,7.88,26.63,2.96,1.94,0
20160324:0910,587.84,114.72,10.07,34.67,4,2.04,0
20160324:1010,79.77,214.63,5.38,40.68,4.9,2,0
20160324:1110,290.46,398.32,11.09,43.77,5.8,1.96,0
20160324:1210,62.81,220.13,5.26,43.3,6.7,1.92,0
20160324:1310,148.1,251.66,6.73,39.37,7.14,2.23,0
20160324:1410,59.21,292.75,6.6,32.74,7.59,2.53,0
20160324:1510,176.31,264.27,6.88,24.32,8.03,2.84,0
20160324:1610,155,90.82,3.34,14.83,7.32,2.33,0
20160324:1710,19.61,28.66,0.77,4.81,6.61,1.81,0
20160324:1810,0,0,0,0,5.9,1.3,0
20160324:1910,0,0,0,0,5.18,1.11,0
20160324:2010,0,0,0,0,4.46,0.92,0
20160324:2110,0,0,0,0,3.74,0.73,0
20160324:2210,0,0,0,0,3.49,0.79,0
20160324:2310,0,0,0,0,3.24,0.85,0
20160325:0010,0,0,0,0,3,0.91,0
20160325:0110,0,0,0,0,3.1,1.08,0
20160325:0210,0,0,0,0,3.2,1.24,0
20160325:0310,0,0,0,0,3.3,1.41,0
20160325:0410,0,0,0,0,3.24,1.54,0
20160325:0510,0,0,0,0,3.18,1.66,0
20160325:0610,0.77,28.06,0.6,7.78,3.12,1.79,0
20160325:0710,12.75,116.32,2.6,17.71,3.93,2.05,0
20160325:0810,53.44,208.73,4.98,26.99,4.74,2.3,0
20160325:0910,0,124,2.58,35.05,5.55,2.55,0
20160325:1010,17.77,236.73,5.13,41.08,5.72,3.1,0
20160325:1110,0,132.15,2.75,44.17,5.9,3.65,0
20160325:1210,0,133.05,2.77,43.67,6.08,4.19,0
20160325:1310,0,91.42,1.9,39.7,5.72,4.1,0
20160325:1410,0,56.12,1.17,33.04,5.37,4,0
20160325:1510,0,56.12,1.17,24.58,5.01,3.9,0
20160325:1610,1.57,50.82,1.08,15.07,4.85,3.75,0
20160325:1710,9.35,24.65,0.6,5.05,4.69,3.6,0
20160325:1810,0,0,0,0,4.53,3.45,0
20160325:1910,0,0,0,0,4.25,3.25,0
20160325:2010,0,0,0,0,3.98,3.04,0
20160325:2110,0,0,0,0,3.7,2.84,0
20160325:2210,0,0,0,0,3.81,2.69,0
20160325:2310,0,0,0,0,3.92,2.54,0
20160326:0010,0,0,0,0,4.03,2.39,0
20160326:0110,0,0,0,0,3.98,2.09,0
20160326:0210,0,0,0,0,3.94,1.8,0
20160326:0310,0,0,0,0,3.9,1.5,0
20160326:0410,0,0,0,0,3.96,1.32,0
20160326:0510,0,0,0,0,4.02,1.14,0
20160326:0610,3.02,28.97,0.68,8.12,4.08,0.95,0
20160326:0710,53.83,117.62,3.23,18.06,5.1,1.21,0
20160326:0810,258.69,153.46,6.58,27.36,6.13,1.47,0
20160326:0910,451.77,238.88,10.41,35.43,7.16,1.72,0
20160326:1010,479.68,319.18,11.98,41.48,8.63,1.54,0
20160326:1110,760.19,226.58,13.79,44.57,10.1,1.37,0
20160326:1210,944.03,114.33,14.26,44.05,11.57,1.19,0
20160326:1310,883.2,114.24,13.24,40.04,12.59,1.34,0
20160326:1410,704.38,131.7,11,33.33,13.62,1.5,0
20160326:1510,512.75,116.85,8.17,24.85,14.64,1.66,0
20160326:1610,284.95,83.8,4.7,15.32,13.22,1.98,0
20160326:1710,73.27,23.77,1.24,5.28,11.79,2.3,0
20160326:1810,0,0,0,0,10.37,2.62,0
20160326:1910,0,0,0,0,8.97,2.55,0
20160326:2010,0,0,0,0,7.57,2.47,0
20160326:2110,0,0,0,0,6.17,2.4,0
20160326:2210,0,0,0,0,5.99,2.64,0
20160326:2310,0,0,0,0,5.81,2.88,0
20160327:0010,0,0,0,0,5.64,3.12,0
20160327:0110,0,0,0,0,5.55,3.39,0
20160327:0210,0,0,0,0,5.46,3.66,0
20160327:0310,0,0,0,0,5.37,3.93,0
20160327:0410,0,0,0,0,5.76,3.85,0
20160327:0510,0,0,0,0,6.15,3.77,0
20160327:0610,0.74,32.58,0.7,8.46,6.55,3.7,0
20160327:0710,0,35.3,0.74,18.41,7.21,3.62,0
20160327:0810,11.26,162.37,3.53,27.72,7.87,3.54,0
20160327:0910,0,67.88,1.41,35.81,8.54,3.46,0
20160327:1010,0,148.44,3.09,41.88,8.39,3.22,0
20160327:1110,0,103.18,2.15,44.97,8.24,2.98,0
20160327:1210,0,95.94,2,44.42,8.1,2.74,0
20160327:1310,0,100.47,2.09,40.38,8.66,2.67,0
20160327:1410,11.58,284.69,6.04,33.63,9.22,2.59,0
20160327:1510,0,46.16,0.96,25.11,9.78,2.51,0
20160327:1610,0,69.69,1.45,15.56,8.95,2.12,0
20160327:1710,13.69,21.9,0.6,5.52,8.11,1.74,0
20160327:1810,0,0,0,0,7.28,1.35,0
20160327:1910,0,0,0,0,6.32,1.29,0
20160327:2010,0,0,0,0,5.36,1.22,0
20160327:2110,0,0,0,0,4.4,1.16,0
20160327:2210,0,0,0,0,3.89,1.37,0
20160327:2310,0,0,0,0,3.38,1.59,0
20160328:0010,0,0,0,0,2.88,1.81,0
20160328:0110,0,0,0,0,2.6,1.98,0
20160328:0210,0,0,0,0,2.33,2.16,0
20160328:0310,0,0,0,0,2.06,2.33,0
20160328:0410,0,0,0,0,2.49,2.66,0
20160328:0510,0,0,0,0,2.91,2.99,0
20160328:0610,0,17.2,0.36,8.81,3.34,3.32,0
20160328:0710,0,77.84,1.62,18.76,4.99,3.67,0
20160328:0810,26.07,192.51,4.34,28.09,6.65,4.01,0
20160328:0910,0,122.19,2.55,36.2,8.31,4.36,0
20160328:1010,0,97.75,2.04,42.27,8.71,4.72,0
20160328:1110,8.23,220.87,4.7,45.36,9.11,5.09,0
20160328:1210,168.81,527.24,12.37,44.8,9.52,5.45,0
20160328:1310,708.07,231.16,12.92,40.71,10.58,5.85,0
20160328:1410,513.12,136.65,8.86,33.92,11.63,6.25,0
20160328:1510,291.02,242.79,7.77,25.37,12.69,6.65,0
20160328:1610,277.96,89.34,4.83,15.8,11.88,6.05,0
20160328:1710,77.16,32.49,1.4,5.75,11.06,5.44,0
20160328:1810,0,0,0,0,10.25,4.84,0
20160328:1910,0,0,0,0,9.53,4.98,0
20160328:2010,0,0,0,0,8.81,5.13,0
20160328:2110,0,0,0,0,8.09,5.27,0
20160328:2210,0,0,0,0,7.83,5.37,0
20160328:2310,0,0,0,0,7.57,5.46,0
20160329:0010,0,0,0,0,7.32,5.56,0
20160329:0110,0,0,0,0,7.15,5.34,0
20160329:0210,0,0,0,0,6.99,5.12,0
20160329:0310,0,0,0,0,6.83,4.9,0
20160329:0410,0,0,0,0,6.25,4.59,0
20160329:0510,0,0,0,0,5.67,4.29,0
20160329:0610,20.2,54.06,1.66,9.15,5.09,3.99,0
20160329:0710,42.1,145.91,3.66,19.11,6.16,4.57,0
20160329:0810,76.38,186.34,4.87,28.45,7.23,5.15,0
20160329:0910,314.74,294.42,9.81,36.58,8.3,5.74,0
20160329:1010,463.34,250.91,10.79,42.67,9.43,6.17,0
20160329:1110,365.61,362.48,11.45,45.76,10.57,6.59,0
20160329:1210,406.49,301.55,10.73,45.17,11.71,7.02,0
20160329:1310,178.76,257.32,7.26,41.04,12.05,6.49,0
20160329:1410,365.33,223.65,8.58,34.21,12.4,5.95,0
20160329:1510,8.69,139.57,3,25.63,12.74,5.42,0
20160329:1610,0,39.83,0.83,16.04,11.95,4.28,0
20160329:1710,0,6.34,0.13,5.98,11.16,3.13,0
20160329:1810,0,0,0,0,10.37,1.99,0
20160329:1910,0,0,0,0,9.47,1.99,0
20160329:2010,0,0,0,0,8.58,2,0
20160329:2110,0,0,0,0,7.68,2,0
20160329:2210,0,0,0,0,7.82,2.26,0
20160329:2310,0,0,0,0,7.95,2.52,0
20160330:0010,0,0,0,0,8.09,2.79,0
20160330:0110,0,0,0,0,7.93,2.8,0
20160330:0210,0,0,0,0,7.78,2.82,0
20160330:0310,0,0,0,0,7.62,2.84,0
20160330:0410,0,0,0,0,7.62,2.78,0
20160330:0510,0,0,0,0,7.62,2.71,0
20160330:0610,0,27.15,0.57,9.49,7.63,2.65,0
20160330:0710,0,88.7,1.85,19.46,8.6,3,0
20160330:0810,39.12,170.75,4.07,28.81,9.57,3.36,0
20160330:0910,60.49,259.19,6.11,36.95,10.55,3.71,0
20160330:1010,25.23,213.63,4.75,43.06,11.31,3.76,0
20160330:1110,19,358.18,7.66,46.15,12.07,3.8,0
20160330:1210,598.77,223.54,11.79,45.54,12.84,3.85,0
20160330:1310,411.33,178.73,8.58,41.37,13.28,3.74,0
20160330:1410,317.41,273.39,8.94,34.5,13.71,3.64,0
20160330:1510,175.13,187.81,5.7,25.89,14.15,3.53,0
20160330:1610,167.81,139.12,4.53,16.28,13.27,3.06,0
20160330:1710,28.86,42.13,1.15,6.22,12.38,2.59,0
20160330:1810,0,0,0,0,11.49,2.12,0
20160330:1910,0,0,0,0,10.69,2.34,0
20160330:2010,0,0,0,0,9.89,2.55,0
20160330:2110,0,0,0,0,9.09,2.76,0
20160330:2210,0,0,0,0,8.74,2.96,0
20160330:2310,0,0,0,0,8.39,3.15,0
20160331:0010,0,0,0,0,8.05,3.35,0
20160331:0110,0,0,0,0,8.25,3.28,0
20160331:0210,0,0,0,0,8.45,3.21,0
